#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,zsh,"better shell"
,ntp,"for timedate stuff"
,curl,"essential"
,git,"version control"
,rust,"for compiling paru"
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,luarocks,"lua package manager"
,ranger,"is an extensive terminal file manager that everyone likes."
,arandr,"is a UI for screen adjustment."
,bc,"is used for a dropdown calculator."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,neovim,"a tidier vim with some useful features"
A,neovim-nightly-bin,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,pandoc,"doc convert"
,highlight,"can highlight code output."
,rofi,"dmenu replacement"
,brightnessctl,"dmenu replacement"
,xorg-xbacklight,"enables changing screen brightness levels."
,lightdm,"login manager"
,lightdm-webkit-theme-litarvan,"lightdm theme"
,lightdm-webkit2-greeter,"lightdm greeter"
,adobe-source-han-sans-cn-fonts,"Chinese fonts"
,adobe-source-han-serif-cn-fonts,"Chinese fonts"
,exa,"better ls"
,trash-cli,"trash tool"
,luarocks,"lua package manager"
A,alacritty-ligatures-git,"terminal emulator"
A,awesome-git,"window manager"
A,picom-ibhagwan-git,"window compositor"
A,ytmdl,"music downloader"
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
